Test Name,Description,Duration,Test Type,Remote Testing,Adaptive/IRT Support,Job Levels,Languages,Test URL
Contact Center Manager - Short Form,"The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates; interacting day-to-day with subordinates; and training employees. Potential job titles that use this solution are: Contact Center Team Leader, First Line Supervisor, and Contact Center Manager.",50,"A,B,P,S",yes,yes,"Manager,Supervisor,Front Line Manager",English(USA),https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/
Contact Center Sales & Service + 8.0,"The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.",41,"P,B,C,A,S",yes,no,Entry-Level,"English International, English (USA)",https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/
Contact Center Sales & Service 8.0,The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.,31,"S,B,C,P",yes,no,Entry-Level,"English International, English (USA)",https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/
Contact Center Team Lead/Coach - Short Form,"The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor.",45,"A,B,P,S",yes,yes,"Front Line Manager, Professional Individual Contributor, Supervisor",English(USA),https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/
Contact Centre Agent Solution - UK,"This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. The candidate answers multiple choice questions as well as questions in a customer call simulation environment. The solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. In addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.",39,"A,B,P,S",yes,no,Entry-Level,English International,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/
Customer Service - Short Form,"The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.",42,"A,B,P",yes,yes,Entry-Level,"English(USA),English International",https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/
Customer Service - Short Form - UK,"The Customer Service Representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.",42,"A,B,P",yes,yes,Entry-Level,English International,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/
Customer Service with Sales - Short Form,"The Customer Service with Sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Sales Representative.",44,"A,B,P",yes,yes,Entry-Level,English(USA),https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/
Director - Short Form,"The Director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and operations of companies. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources. Potential job titles that use this solution are: Director, Regional Director, and Director of Operations.",69,"A,B,P",yes,yes,Director,English(USA),https://www.shl.com/solutions/products/product-catalog/view/director-short-form/
District/Regional Manager Solution,"The District/Regional Manager solution is for mid- to senior-level managerial positions that oversee multiple stores within a defined area. Sample tasks for these jobs include, but are not limited to: directing a group of supervisors or managers, having profit and loss responsibility for a district or region, and aligning work with overall company goals. Potential job titles that use this solution are: Regional Director, District Manager, General Manager, Regional Manager, Store Manager, and Area Manager. There are multiple configurations and versions of this solution available.",65,"A,B,P",yes,yes,Manager,English(USA),https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/
Entry Level Cashier 7.1 (Americas),"The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk.",18,"B,P,A",yes,no,Entry-Level,"French (Canada), Latin American Spanish, English (USA), English International",https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/
Entry Level Cashier 7.1 (International),"The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk.",18,"A,B,P",yes,no,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/
Entry Level Customer Service 7.1 (Americas),"The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"".",19,"C,P",yes,no,Entry-Level,"German, Finnish, Portuguese (Brazil), English (USA), Norwegian, Dutch, Arabic, Swedish, French (Canada), Italian, Danish, English International, Chinese Simplified, Latin American Spanish, French",https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/
Entry Level Customer Service 7.1 (International),"The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"".",19,"C,P",yes,no,Entry-Level,"French, Dutch, English (USA), English International, Italian, German",https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/
Entry Level Customer Service 7.1 (South Africa),"The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organization's products or services. Sample tasks for these jobs include but are not limited to interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"".",19,"C,P",yes,no,Entry-Level,English International,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/
Entry level Sales 7.1 (Americas),"The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.",20,"B,C,P",yes,no,Entry-Level,Portuguese (Brazil),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/
Entry level Sales 7.1 (International),"The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.
Report Language Availability: English (USA), English International, Portuguese, French Canadian, German, French, Chinese Simplified, Spanish, North American Spanish.",20,"P,B,C",yes,no,Entry-Level,"English (USA), Spanish, Latin American Spanish, French, German, French (Canada), English International, Chinese Simplified, Portuguese,",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/
Entry Level Sales Sift Out 7.1,"The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer",20,"C,P,B",yes,no,Entry-Level,"Swedish, Chinese Simplified, Finnish, English (USA), Portuguese (Brazil), French, Danish, Italian, Arabic, Dutch, French (Canada), Latin American Spanish, English International, Norwegian, German",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/
Event Sales Manager Solution,"The Event Sales Manager solution is designed for management level positions in the hospitality industry. Sample tasks include selling use of facility space for special events and managing staff. The solution is focused on sales, solving problems and making good decisions. Potential job titles that use this solution are: Event Sales Manager, Events Manager and Special Events Manager. Multiple configurations of this solution are available",50,"S,A,B,P",yes,yes,"Supervisor, Front Line Manager, Manager",English (USA),https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/
Executive - Short Form,"The Executive solution is intended for use with senior executive level positions responsible for planning, directing, or coordinating key business activities and operations at the highest level of an organization. Executives at this level often accomplish their work through subordinate executives and provide overall direction to their organization by determining and formulating policies within guidelines set up by a board of directors or similar governing body. Potential job titles that use this solution are: Executive Vice President, President, and Executive Director.",74,"A,B,P",yes,yes,Executive,English(USA),https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/
Financial Professional - Short Form,"This solution is for mid-level financial institution positions that require Series 6/7 certification. Candidates answer multiple choice questions to measure financial professional aptitude, learning potential, achievement orientation, conscientiousness, persistence and planfulness, self leadership, interpersonal leadership, sales focus and customer focus.",35,"A,B,P",yes,no,"Mid-Professional, Professional Individual Contributor",English(USA),https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/
Financial Services Representative Solution,"The Financial Services Representative solution is for senior-level professional positions in the insurance industry that sell life insurance to businesses and individuals on behalf of insurance companies. Sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suite individual customers; seeking out new clients and developing clientele by networking; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when calims are made on a policy. Potential job titles that use this solution are: Life Insurance Sales Professional, Insurance Sales Agent. Multiple configurations of this solution are available.",44,"A,B,P",yes,no,Professional Individual Contributor,English(USA),https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/
Front Desk Associate Solution,"The Front Desk Associate solution is designed for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, tabulating guest bills and accpeting payment. Potential job titles that use this solution are: Front Desk Clerk, Guest Desk Attendant, Guest Check-in Associate, or Front Office Agent. Multiple configurations of this solution are available.",50,"A,B,P",yes,yes,Entry-Level,English(USA),https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/
Gaming Associate Solution,"The Gaming Associate solution is designed for entry to mid-level positions operating gaming tables. The solution is for highly customer service focused positions that may potentially deal with large sums of money. Sample tasks may include: dealing playing cards, counting and confirming patron bets, collecting patron losses and distributing patron winnings, and exchange currency for playing chips. Potential job titles that use this solution are: Table Games Dealer, Black Jack Dealer, Dealer, Casino Dealer, Dual Rate Dealer, Card Dealer and Gaming Dealer. Multiple configurations of this solution are available.",50,"A,B,P,S",yes,yes,Entry-Level,English(USA),https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/
Gaming Manager Solution,"The Gaming Manager solution is designed for management level positions within the hospitality industry. Sample tasks include managing operations, supervisors and associates within gaming environments. The solution is focused on security, integrity and managing sales. Potential job titles that use this solution are: Gaming Floor Manager and Gaming Manager. Multiple configurations of this solution are available.",55,"S,A,B,K,P",yes,yes,"Front Line Manager, Manager, Supervisor",English(USA),https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/
General Entry Level - All Industries 7.0 Solution,"Our General Entry Level – All Industries 7.0 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector.",19,B,yes,no,Entry-Level,"English (USA), English International, French (Canada), Latin American Spanish",https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/
General Entry Level - All Industries 7.1 Solution,"Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector.
“MCP Product: please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International.""",19,B,yes,no,Entry-Level,"German, Norwegian, Finnish, French (Canada), Portuguese (Brazil), Latin American Spanish, English (USA), English International, Danish, Swedish, French, Italian",https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/
General Entry Level - All Industries 7.1(Americas),"Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector.",19,B,yes,no,Entry-Level,"Portuguese (Brazil), French (Canada), English (USA), Latin American Spanish",https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/
General Entry Level – Data Entry 7.0 Solution,"Our General Entry Level – Data Entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems. This solution measures speed and accuracy at typing text and numbers into forms and predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and approaching work in a thorough and precise manner. This solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Accounting Clerk, Accounts Receivable Clerk, Administrative Clerk, Clerical Aide, Clerical Assistant, Office Assistant, Office Services Specialist, Staff Assistant.
Report Language Availability: English (USA)",24,"B,K",yes,no,"General Population, Entry-Level",English (USA),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/
Graduate + 8.0 Job Focused Assessment,"The Graduate + 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. It helps you identify graduates with the highest potential to contribute and succeed, as well as providing actionable feedback to help you onboard new hires.
It is designed for professional level positions appropriate for recent college graduates and is available as part of SHL’s Graduate Solution.",30,"A,B,P",yes,no,Graduate,"Arabic, Latin American Spanish, Portuguese, Polish, Portuguese (Brazil), Romanian, Turkish, English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Norwegian, Danish, Chinese Traditional, Spanish, Japanese",https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/
Graduate 7.1 Job Focused Assessment,The Graduate 7.1 Job Focused Assessment is designed for professional level positions appropriate for recent college graduates.,19,"B,C",yes,no,Graduate,"Chinese Simplified, English (USA), French, German, English International, Italian, Japanese, Latin American Spanish, Polish, Russian, Swedish, Dutch, Portuguese (Brazil)",https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/
Graduate 8.0 Job Focused Assessment,"The Graduate 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment to help you identify graduates with the highest potential to contribute and succeed. It also provides actionable feedback to help you onboard new hires.
It is designed for professional level positions appropriate for recent college graduates and is available as part of SHL’s Graduate Solution.",20,"P,B",yes,no,Graduate,"English (USA), English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Finnish, Norwegian, Danish, Chinese Traditional, Turkish, Romanian, Japanese, Latin American Spanish, Indonesian, Portuguese (Brazil), Arabic, Polish",https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/
Guest Service Team 7.0 Solution,"Our Guest Service Team 7.0 solution is designed for team-oriented entry-level positions that involve a high degree of interaction with customers. The solution covers a wide variety of positions, and assesses competencies critical to interacting with customers including: persisting to meet guest needs; behaving responsibly and appropriately; effectively working alongside others; preparing and/or delivering customer orders; following rules and policies; and communicating effectively. Potential job titles that use this solution include: Server, Hostess, Guest Services Team Member, Customer Service Champion.
Report Language Availability: English (USA), Latin American Spanish.",18,B,yes,no,Entry-Level,"French (Canada), Latin American Spanish, English (USA), English International",https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/
Guest Services Associate Solution,"The Guest Services Associate solution is designed for entry to mid-level customer service positions in the hospitality industry. The solution is for highly customer service focused positions with few to no sales components. Sample tasks may include: providing information on entertainment, dining and transportation to guests, making dining recommentations to guests, arranging transportation for guests, and making reservations. Potential job titles that use this solution are: Concierge, Guest Services Agent, Club Concierge, Hotel Concierge, Front Office Manager and Guest Services Associate. Multiple configurations of this solution are available.",48,"A,B,P,S",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/
Healthcare Aide 7.0 Solution,"Our Healthcare Aide 7.0 solution is designed for individually-oriented, entry-level positions that directly support another person's health and well-being. The solution covers a wide variety of positions, and assesses behaviors critical for patient support roles including: understanding and following detailed instructions; administering personal care; being respectful and tolerant of patients; preparing and maintaining records of patient progress and services performed; and working hard to meet or exceed patient needs. Potential job titles that use this solution include: Personal Care Aide, Healthcare Aide, Home Health Aide, Dental Assistant.",22,B,yes,no,Entry-Level,"English (USA), French (Canada), Latin American Spanish",https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/
Healthcare Call Center Agent Solution,"The Healthcare Call Center Agent solution is for entry-level positions in an inbound healthcare call center environment. Sample tasks for this job include, but are not limited to: taking and receiving information from patients over the phone, working between computer screens, and entering information into a computer. Potential job titles that use this solution are: Call Center Representative, Receptionist, and Switchboard Operator. Multiple configurations of this solution are available.",44,"A,B,P,S",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/
Healthcare Service Associate Solution,"The Healthcare Service Associate solution is for entry-level positions in a healthcare environment that require the employee to interact with patients. Sample tasks for this job include, but are not limited to: delivering food to patients, cleaning patient rooms, and welcoming guests to the hospital. Potential job titles that use this solution are: Housekeepers, Dietary Aides, and Guest Services Coordinator. There are multiple configurations and versions of this solution available.",37,"A,B,P",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/
Healthcare Support Specialist Solution,"The Healthcare Support Specialist solution is for entry-level positions in a healthcare environment that do not require the employee to interact with patients. Sample tasks for this job include, but are not limited to: preparing food for patients, washing hospital linens, and cleaning the healthcare facility. Potential job titles that use this solution are: Janitors, Food Preparation Workers, and Laundry Associates. Multiple configurations of this solution are available.",30,"A,B,P",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/
Home Health Aide Solution,"The Home Health Aide solution is for entry-level positions in an in-home or group home environment. Sample tasks for this job include, but are not limited to: monitoring vital signs and medication intake, administering bedside and personal care such as ambulation and personal hygiene, and preparing and maintaining records of patient progress and services performed. Potential job titles that use this solution are: Personal Care Aide, Home Health Aide, Residential Assistant, and Certified Nursing Assistant. There are multiple configurations and versions of this solution available.",41,"A,B,P",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/
